edge,from_node,to_node
1,1,8
2,8,1
3,1,11
4,11,1
5,1,18
6,18,1
7,2,5
8,5,2
9,2,6
10,6,2
11,2,14
12,14,2
13,3,11
14,11,3
15,3,17
16,17,3
17,3,20
18,20,3
19,4,6
20,6,4
21,4,18
22,18,4
23,4,20
24,20,4
25,5,8
26,8,5
27,5,10
28,10,5
29,6,7
30,7,6
31,7,8
32,8,7
33,7,12
34,12,7
35,9,15
36,15,9
37,9,19
38,19,9
39,9,20
40,20,9
41,10,17
42,17,10
43,10,19
44,19,10
45,11,17
46,17,11
47,12,13
48,13,12
49,12,16
50,16,12
51,13,15
52,15,13
53,13,16
54,16,13
55,14,15
56,15,14
57,14,18
58,18,14
59,16,19
60,19,16
